Target,Mode,Run,Accuracy_All,Accuracy_Monomer,TN_pct_All,FP_pct_All,FN_pct_All,TP_pct_All,TN_pct_Monomer,FP_pct_Monomer,FN_pct_Monomer,TP_pct_Monomer,N_test_All,N_test_Monomer,Std_All,Std_Monomer,TN_pct_All_std,FP_pct_All_std,FN_pct_All_std,TP_pct_All_std,TN_pct_Monomer_std,FP_pct_Monomer_std,FN_pct_Monomer_std,TP_pct_Monomer_std
Mutagenic,Original,29,70.32967032967034,77.77777777777779,,,,,,,,,182.0,9.0,,,,,,,,,,
Mutagenic,Original,30,60.98901098901099,64.28571428571429,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,31,65.38461538461539,56.25,,,,,,,,,182.0,16.0,,,,,,,,,,
Mutagenic,Original,32,65.93406593406593,60.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,33,63.18681318681318,57.14285714285714,,,,,,,,,182.0,14.0,,,,,,,,,,
Mutagenic,Original,34,60.43956043956044,75.0,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,35,65.38461538461539,72.72727272727273,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,36,60.98901098901099,58.333333333333336,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,37,60.43956043956044,80.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,38,63.18681318681318,40.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,39,61.53846153846154,75.0,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,40,68.68131868131869,54.54545454545454,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,41,67.03296703296702,66.66666666666666,,,,,,,,,182.0,6.0,,,,,,,,,,
Mutagenic,Original,42,62.637362637362635,75.0,,,,,,,,,182.0,12.0,,,,,,,,,,
Mutagenic,Original,43,65.38461538461539,54.54545454545454,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,44,64.28571428571429,45.45454545454545,,,,,,,,,182.0,11.0,,,,,,,,,,
Mutagenic,Original,45,64.83516483516483,80.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,46,66.48351648351648,73.33333333333333,,,,,,,,,182.0,15.0,,,,,,,,,,
Mutagenic,Original,47,64.28571428571429,80.0,,,,,,,,,182.0,10.0,,,,,,,,,,
Mutagenic,Original,48,63.18681318681318,92.85714285714286,,,,,,,,,182.0,14.0,,,,,,,,,,
