Target,Mode,Run,Function,N_test_in_function,Correct_in_function,Accuracy_in_function,TN_in_function,FP_in_function,FN_in_function,TP_in_function
Mutagenic,Binary (2 vs others),15,Plasticizer,17,12,70.58823529411765,12.0,2.0,3.0,0.0
Mutagenic,Binary (2 vs others),15,Biocide,23,22,95.65217391304348,20.0,0.0,1.0,2.0
Mutagenic,Binary (2 vs others),15,Odor_Agent,17,15,88.23529411764706,12.0,0.0,2.0,3.0
Mutagenic,Binary (2 vs others),15,Heat_stabilizer,7,6,85.71428571428571,6.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),15,Initiator,10,9,90.0,8.0,0.0,1.0,1.0
Mutagenic,Binary (2 vs others),15,Viscosity_modifier,2,0,0.0,0.0,1.0,1.0,0.0
Mutagenic,Binary (2 vs others),15,Solvent,5,4,80.0,4.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),16,Lubricant,24,20,83.33333333333334,19.0,2.0,2.0,1.0
Mutagenic,Binary (2 vs others),16,Other_Processing_Aids,52,41,78.84615384615384,39.0,3.0,8.0,2.0
Mutagenic,Binary (2 vs others),16,Plasticizer,14,9,64.28571428571429,9.0,2.0,3.0,0.0
Mutagenic,Binary (2 vs others),16,Antioxidant,20,17,85.0,16.0,1.0,2.0,1.0
Mutagenic,Binary (2 vs others),16,Colorant,75,65,86.66666666666667,62.0,2.0,8.0,3.0
Mutagenic,Binary (2 vs others),16,Crosslinking_agent,24,19,79.16666666666666,16.0,2.0,3.0,3.0
Mutagenic,Binary (2 vs others),16,Heat_stabilizer,6,6,100.0,6.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,Light_stabilizer,24,21,87.5,19.0,1.0,2.0,2.0
Mutagenic,Binary (2 vs others),16,Odor_Agent,16,13,81.25,11.0,0.0,3.0,2.0
Mutagenic,Binary (2 vs others),16,Filler,34,27,79.41176470588235,26.0,2.0,5.0,1.0
Mutagenic,Binary (2 vs others),16,Intermediate,39,34,87.17948717948718,31.0,1.0,4.0,3.0
Mutagenic,Binary (2 vs others),16,Biocide,24,19,79.16666666666666,18.0,1.0,4.0,1.0
Mutagenic,Binary (2 vs others),16,Catalyst,19,16,84.21052631578947,14.0,2.0,1.0,2.0
Mutagenic,Binary (2 vs others),16,Initiator,9,7,77.77777777777779,6.0,1.0,1.0,1.0
Mutagenic,Binary (2 vs others),16,Solvent,3,1,33.33333333333333,1.0,0.0,2.0,0.0
Mutagenic,Binary (2 vs others),16,Antistatic_agent,4,3,75.0,3.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,Monomer,15,14,93.33333333333333,14.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,Viscosity_modifier,1,0,0.0,0.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),16,Flame_retardant,5,4,80.0,4.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,Blowing_agent,2,1,50.0,1.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,NIAS,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),16,Impurity,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Flame_retardant,8,6,75.0,6.0,0.0,2.0,0.0
Mutagenic,Binary (2 vs others),17,Biocide,20,15,75.0,15.0,0.0,5.0,0.0
Mutagenic,Binary (2 vs others),17,Colorant,76,61,80.26315789473685,58.0,0.0,15.0,3.0
Mutagenic,Binary (2 vs others),17,Crosslinking_agent,28,24,85.71428571428571,23.0,1.0,3.0,1.0
Mutagenic,Binary (2 vs others),17,Filler,40,34,85.0,33.0,0.0,6.0,1.0
Mutagenic,Binary (2 vs others),17,Lubricant,28,22,78.57142857142857,22.0,0.0,6.0,0.0
Mutagenic,Binary (2 vs others),17,Odor_Agent,13,12,92.3076923076923,12.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),17,Other_Processing_Aids,62,50,80.64516129032258,49.0,0.0,12.0,1.0
Mutagenic,Binary (2 vs others),17,Intermediate,41,36,87.8048780487805,34.0,0.0,5.0,2.0
Mutagenic,Binary (2 vs others),17,Plasticizer,17,14,82.35294117647058,14.0,0.0,3.0,0.0
Mutagenic,Binary (2 vs others),17,Catalyst,21,17,80.95238095238095,16.0,0.0,4.0,1.0
Mutagenic,Binary (2 vs others),17,Monomer,11,11,100.0,11.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Solvent,5,5,100.0,5.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Antioxidant,21,18,85.71428571428571,17.0,0.0,3.0,1.0
Mutagenic,Binary (2 vs others),17,Heat_stabilizer,10,9,90.0,9.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),17,Light_stabilizer,23,20,86.95652173913044,20.0,1.0,2.0,0.0
Mutagenic,Binary (2 vs others),17,Initiator,11,10,90.9090909090909,9.0,0.0,1.0,1.0
Mutagenic,Binary (2 vs others),17,Stabilizer,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Blowing_agent,3,1,33.33333333333333,1.0,0.0,2.0,0.0
Mutagenic,Binary (2 vs others),17,Antistatic_agent,3,3,100.0,3.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,NIAS,2,2,100.0,2.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Impurity,2,2,100.0,2.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),17,Unspecified_additive,1,0,0.0,0.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),17,Viscosity_modifier,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Colorant,76,63,82.89473684210526,61.0,3.0,10.0,2.0
Mutagenic,Binary (2 vs others),18,Filler,34,27,79.41176470588235,26.0,2.0,5.0,1.0
Mutagenic,Binary (2 vs others),18,Antioxidant,22,19,86.36363636363636,18.0,2.0,1.0,1.0
Mutagenic,Binary (2 vs others),18,Catalyst,13,9,69.23076923076923,8.0,1.0,3.0,1.0
Mutagenic,Binary (2 vs others),18,Crosslinking_agent,21,18,85.71428571428571,17.0,1.0,2.0,1.0
Mutagenic,Binary (2 vs others),18,Initiator,5,5,100.0,5.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Other_Processing_Aids,61,51,83.60655737704919,50.0,3.0,7.0,1.0
Mutagenic,Binary (2 vs others),18,Plasticizer,13,9,69.23076923076923,9.0,2.0,2.0,0.0
Mutagenic,Binary (2 vs others),18,Monomer,14,11,78.57142857142857,11.0,2.0,1.0,0.0
Mutagenic,Binary (2 vs others),18,Intermediate,39,30,76.92307692307693,29.0,3.0,6.0,1.0
Mutagenic,Binary (2 vs others),18,Odor_Agent,7,4,57.14285714285714,4.0,0.0,3.0,0.0
Mutagenic,Binary (2 vs others),18,Solvent,4,3,75.0,3.0,0.0,1.0,0.0
Mutagenic,Binary (2 vs others),18,Biocide,24,20,83.33333333333334,18.0,2.0,2.0,2.0
Mutagenic,Binary (2 vs others),18,Flame_retardant,9,6,66.66666666666666,6.0,2.0,1.0,0.0
Mutagenic,Binary (2 vs others),18,Heat_stabilizer,6,5,83.33333333333334,5.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Lubricant,32,26,81.25,26.0,3.0,3.0,0.0
Mutagenic,Binary (2 vs others),18,Light_stabilizer,24,19,79.16666666666666,18.0,1.0,4.0,1.0
Mutagenic,Binary (2 vs others),18,Antistatic_agent,6,4,66.66666666666666,4.0,1.0,1.0,0.0
Mutagenic,Binary (2 vs others),18,Blowing_agent,2,1,50.0,1.0,1.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Stabilizer,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Viscosity_modifier,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),18,Impact_modifier,1,1,100.0,1.0,0.0,0.0,0.0
Mutagenic,Binary (2 vs others),19,Odor_Agent,18,14,77.77777777777779,13.0,0.0,4.0,1.0
Mutagenic,Binary (2 vs others),19,Plasticizer,17,14,82.35294117647058,14.0,1.0,2.0,0.0
